,Unnamed: 0.1,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
0,Albania,60.0,66.0,15.0,31.0,18.0,,16.0,15.0,15.0,7.0,9.0,4.0,13.0,7.0,13.0,,,,,,,,,,,,,,,
1,Andorra,,,,,,,,5.0,15.0,11.0,15.0,18.0,,28.0,,,,,,,,,,,,,,,,
2,Armenia,,75.0,71.0,66.0,57.0,74.0,45.0,37.0,30.0,48.0,46.0,42.0,53.0,,42.0,24.0,26.0,42.0,,,,,,,,,,,,
3,Austria,,,,,,2835.0,2841.0,2736.0,2559.0,2574.0,2468.0,2225.0,2482.0,2530.0,2655.0,2852.0,2711.0,3068.0,2860.0,3046.0,3227.0,3025.0,3341.0,,,4146.0,4219.0,4229.0,4022.0,4001.0
4,Azerbaijan,,81.0,84.0,94.0,96.0,74.0,85.0,78.0,82.0,94.0,74.0,78.0,84.0,88.0,96.0,88.0,93.0,96.0,86.0,127.0,,,,,128.0,,,,,
5,Belarus,,,,,,755.0,722.0,785.0,680.0,737.0,751.0,1408.0,1459.0,1491.0,1464.0,1491.0,1526.0,1720.0,1127.0,1773.0,1707.0,,,,,,,,,
6,Belgium,,,,,,,,,,,,,,,,,,4102.0,4250.0,1057.0,1057.0,1057.0,,,,,,,,
7,Bosnia and Herzegovina,,,,,,,,,,,,,,,270.0,,,,,,,,,,,,,,,
8,Bulgaria,,,,,,420.0,420.0,440.0,429.0,472.0,491.0,530.0,592.0,452.0,618.0,,,1338.0,913.0,1014.0,893.0,808.0,,,,,,,,
9,Croatia,3944.0,4234.0,4652.0,4110.0,3716.0,3550.0,3909.0,3300.0,3234.0,3316.0,2883.0,2698.0,,,,,,1743.0,1700.0,2042.0,2175.0,2226.0,2416.0,2159.0,2272.0,,,,,
10,Cyprus,,293.0,270.0,181.0,175.0,18.0,48.0,60.0,52.0,50.0,43.0,57.0,41.0,48.0,,,,,,,,,,,,,,,,
11,Czechia,,2334.0,,,,2787.0,3404.0,3779.0,3557.0,3566.0,3714.0,3882.0,4266.0,4204.0,4380.0,4463.0,4010.0,4238.0,3427.0,4536.0,2113.0,2136.0,1970.0,1923.0,2092.0,2256.0,2356.0,2193.0,2125.0,2243.0
12,Denmark,,,,,,1085.0,1189.0,1230.0,1140.0,1272.0,1202.0,1126.0,1260.0,1247.0,1282.0,1349.0,1423.0,1534.0,1491.0,1613.0,1975.0,1929.0,2054.0,,,2292.0,2315.0,2324.0,2500.0,2622.0
13,Estonia,,,,,,569.0,556.0,642.0,529.0,447.0,432.0,537.0,499.0,,629.0,,,367.0,555.0,505.0,,,,,340.0,,,,,573.0
14,Finland,,,,,,1009.0,993.0,916.0,942.0,971.0,994.0,1018.0,983.0,999.0,1103.0,788.0,894.0,1205.0,1554.0,1626.0,1558.0,1276.0,1116.0,1107.0,932.0,871.0,861.0,913.0,847.0,818.0
15,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Georgia,,378.0,,,,,123.0,,123.0,115.0,120.0,148.0,131.0,136.0,,50.0,,,,,,,,,,,,,,
17,Germany,,,,,,,24245.0,25333.0,25690.0,27375.0,28350.0,28736.0,32884.0,34468.0,36966.0,39892.0,40998.0,40823.0,41603.0,36094.0,,,,,,,,,,
18,Greece,,,,,,1452.0,1414.0,1515.0,1897.0,2119.0,,,,,,,,,,,,,,,,,,,,
19,Hungary,,,,,,2909.0,2450.0,2440.0,2138.0,2062.0,2225.0,2379.0,3197.0,2231.0,2438.0,2664.0,2581.0,3945.0,4008.0,4258.0,3724.0,3002.0,2837.0,,,3583.0,3716.0,3433.0,3299.0,3354.0
20,Iceland,,,,,,23.0,36.0,42.0,45.0,56.0,58.0,44.0,,65.0,67.0,64.0,58.0,53.0,52.0,50.0,38.0,57.0,75.0,90.0,,68.0,71.0,60.0,43.0,90.0
21,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Israel,,473.0,543.0,544.0,307.0,328.0,320.0,299.0,298.0,256.0,213.0,167.0,139.0,151.0,,,,,,,,,,,,,,,,
23,Italy,,,,,,,,2901.0,2713.0,3311.0,2974.0,2726.0,2709.0,2727.0,2443.0,1751.0,1274.0,1091.0,974.0,221.0,201.0,,157.0,124.0,184.0,126.0,134.0,138.0,135.0,137.0
24,Kazakhstan,,,,,,1232.0,1264.0,2278.0,1811.0,1274.0,1214.0,3209.0,2987.0,2607.0,3145.0,2604.0,2341.0,,,,,,,,,,,,,
25,Kyrgyzstan,,,,,,310.0,291.0,304.0,350.0,302.0,261.0,298.0,310.0,300.0,279.0,,377.0,472.0,672.0,,720.0,541.0,419.0,364.0,,,,,,
26,Latvia,,,,,,746.0,837.0,904.0,893.0,1272.0,1403.0,1420.0,1284.0,1250.0,1375.0,916.0,971.0,972.0,1006.0,1071.0,,,,,,,,,,
27,Lithuania,,,,,,990.0,888.0,995.0,1031.0,1109.0,1109.0,1167.0,1001.0,833.0,711.0,755.0,854.0,781.0,1152.0,1001.0,,,,,,,,,,
28,Luxembourg,,,,,,,141.0,190.0,159.0,193.0,187.0,220.0,191.0,,,,,180.0,180.0,180.0,199.0,211.0,236.0,,,237.0,197.0,219.0,264.0,283.0
29,Malta,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,
30,Monaco,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,
31,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Netherlands,,,,,,,2071.0,2156.0,2232.0,2433.0,2546.0,2511.0,,,2559.0,1009.0,981.0,2455.0,2753.0,2864.0,,,,,3712.0,,,,,4472.0
33,North Macedonia,,133.0,144.0,224.0,261.0,203.0,207.0,165.0,115.0,144.0,203.0,233.0,249.0,321.0,377.0,368.0,409.0,146.0,261.0,315.0,368.0,271.0,396.0,372.0,386.0,353.0,,285.0,,279.0
34,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Poland,,,,,,5781.0,6913.0,7801.0,7432.0,9367.0,9319.0,10953.0,12426.0,10147.0,11058.0,10940.0,10123.0,10606.0,11730.0,11329.0,9320.0,7754.0,7557.0,,8559.0,9171.0,9836.0,9324.0,,
36,Portugal,,,,,,,,,,,2182.0,,1766.0,2057.0,1863.0,2030.0,2572.0,2417.0,2289.0,1845.0,1831.0,1907.0,2567.0,,,,,,,
37,Republic of Moldova,,,326.0,291.0,254.0,,280.0,262.0,342.0,335.0,309.0,419.0,528.0,492.0,422.0,254.0,251.0,479.0,,,,,,,,,,,,
38,Romania,,,,,,,302.0,255.0,452.0,542.0,577.0,479.0,794.0,877.0,913.0,821.0,747.0,527.0,424.0,386.0,394.0,394.0,,,,,658.0,779.0,,686.0
39,Russian Federation,15835.0,18191.0,,,26904.0,31028.0,34500.0,34103.0,31839.0,33320.0,34672.0,36009.0,35760.0,37734.0,41772.0,44557.0,45607.0,46853.0,66840.0,69781.0,,,,,,,,,,
40,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Slovakia,,1377.0,1461.0,1330.0,1244.0,1125.0,1107.0,1032.0,1202.0,1151.0,1170.0,1342.0,1305.0,1236.0,1278.0,1368.0,1463.0,1603.0,2925.0,3124.0,2356.0,2250.0,2208.0,2149.0,2190.0,,,,,2282.0
43,Slovenia,,,,,,1764.0,1778.0,1550.0,1539.0,1531.0,1296.0,1259.0,1764.0,1576.0,,,,757.0,687.0,569.0,720.0,728.0,775.0,690.0,656.0,754.0,739.0,1072.0,,581.0
44,Spain,,,,,,,,,,,,,,,,,,4124.0,3739.0,3344.0,3456.0,3544.0,3306.0,,,,,2277.0,2006.0,1286.0
45,Sweden,,,,,,1056.0,1143.0,1012.0,970.0,852.0,787.0,772.0,749.0,,773.0,703.0,971.0,1038.0,1170.0,1315.0,1584.0,1296.0,,1244.0,1047.0,,,,,1233.0
46,Switzerland,,2134.0,2178.0,2264.0,2050.0,2271.0,2427.0,2506.0,2454.0,2493.0,2469.0,2358.0,2172.0,2147.0,2303.0,2547.0,2504.0,2322.0,2762.0,2644.0,2722.0,2845.0,,,,,,,,
47,Tajikistan,,,,,,,,,20.0,24.0,,,,,60.0,76.0,,125.0,148.0,,,,,,,,,,,
48,Turkey,,,3256.0,2832.0,1294.0,,18847.0,12491.0,2429.0,2839.0,1613.0,,,,,,,12843.0,12178.0,11555.0,11008.0,12342.0,13921.0,11809.0,3179.0,,,,,
49,Turkmenistan,,,,,,,,,,,80.0,87.0,,,,,,,,,,,,,,,,,,
50,Ukraine,2911.0,3518.0,6385.0,3337.0,3020.0,2989.0,2984.0,2865.0,3146.0,3347.0,3915.0,4430.0,5022.0,5748.0,5358.0,5607.0,6091.0,6773.0,7702.0,8307.0,7681.0,,,,,,,,,
51,United Kingdom,,,,,,11220.0,12400.0,13150.0,12270.0,11800.0,11050.0,10100.0,10710.0,10870.0,10180.0,9900.0,9480.0,10790.0,11690.0,13210.0,14390.0,14520.0,15560.0,16940.0,17260.0,17320.0,17130.0,18800.0,17040.0,18570.0
52,Uzbekistan,,,,,,,,,,,,,540.0,699.0,,,,,,,,,,,,,,,,
53,WHO European Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Members of the European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Members of the EU before May 2004 (EU15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Members of the EU after May 2004 (EU13),,,,,,,,,,,,,29709.0,25799.0,,,,,,,,,,,,,,,,
57,Commonwealth of Independent States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Central Asian Republics Information Network members (CARINFONET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,South-eastern Europe Health Network members (SEEHN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Nordic countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Small countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
