,Unnamed: 0.1,beer mean
0,Albania,0.8672413793103451
1,Andorra,3.1050000000000004
2,Armenia,0.3133333333333333
3,Austria,6.471666666666667
4,Azerbaijan,0.34999999999999976
5,Belarus,1.9062500000000004
6,Belgium,6.784210526315789
7,Bosnia and Herzegovina,2.8933333333333326
8,Bulgaria,3.4315789473684206
9,Croatia,4.527272727272727
10,Cyprus,2.7423728813559323
11,Czechia,7.2101694915254235
12,Denmark,6.2152542372881365
13,Estonia,4.680000000000001
14,Finland,3.7152542372881348
15,France,2.725423728813559
16,Georgia,1.2733333333333334
17,Germany,7.837288135593217
18,Greece,2.464912280701755
19,Hungary,4.738983050847458
20,Iceland,2.371186440677966
21,Ireland,7.664912280701755
22,Israel,1.4576271186440664
23,Italy,1.666101694915255
24,Kazakhstan,2.093333333333333
25,Kyrgyzstan,1.2371428571428575
26,Latvia,3.4449999999999994
27,Lithuania,4.873333333333333
28,Luxembourg,5.489830508474577
29,Malta,2.676271186440678
30,Monaco,30.0
31,Montenegro,6.07142857142857
32,Netherlands,5.008474576271187
33,North Macedonia,3.035714285714286
34,Norway,3.2050847457627127
35,Poland,3.732203389830509
36,Portugal,3.176271186440678
37,Republic of Moldova,2.435714285714286
38,Romania,3.6000000000000005
39,Russian Federation,2.7789473684210524
40,San Marino,40.0
41,Serbia,5.205
42,Slovakia,6.379661016949152
43,Slovenia,5.51025641025641
44,Spain,4.343103448275863
45,Sweden,3.7864406779661013
46,Switzerland,4.70925925925926
47,Tajikistan,1.8785714285714288
48,Turkey,1.3457627118644053
49,Turkmenistan,2.0500000000000007
50,Ukraine,3.1780487804878037
51,United Kingdom,6.408474576271189
52,Uzbekistan,2.2928571428571423
53,WHO European Region,4.232000000000001
54,Members of the European Union,5.432000000000003
55,Members of the EU before May 2004 (EU15),5.553999999999999
56,Members of the EU after May 2004 (EU13),5.1179999999999986
57,Commonwealth of Independent States,3.923333333333332
58,Central Asian Republics Information Network members (CARINFONET),2.7107142857142863
59,South-eastern Europe Health Network members (SEEHN),4.906666666666667
60,Nordic countries,5.061999999999999
61,Small countries,4.832000000000001
