,Unnamed: 0.1,Pure alcohol mean
0,Albania,2.632758620689655
1,Andorra,10.575
2,Armenia,3.386666666666668
3,Austria,12.57666666666667
4,Azerbaijan,1.8700000000000003
5,Belarus,10.929999999999996
6,Belgium,11.57017543859649
7,Bosnia and Herzegovina,6.403333333333333
8,Bulgaria,10.031578947368414
9,Croatia,11.706060606060605
10,Cyprus,8.123728813559321
11,Czechia,12.854237288135597
12,Denmark,10.58813559322034
13,Estonia,12.643333333333336
14,Finland,7.938983050847456
15,France,16.764406779661016
16,Georgia,5.466666666666668
17,Germany,13.67627118644068
18,Greece,9.750877192982454
19,Hungary,13.13220338983051
20,Iceland,5.752542372881357
21,Ireland,12.014035087719298
22,Israel,3.4338983050847456
23,Italy,12.947457627118647
24,Kazakhstan,6.126666666666667
25,Kyrgyzstan,5.328571428571428
26,Latvia,9.977500000000003
27,Lithuania,10.708333333333337
28,Luxembourg,15.354237288135595
29,Malta,5.959322033898302
30,Monaco,30.0
31,Montenegro,10.992857142857144
32,Netherlands,9.488135593220342
33,North Macedonia,5.621428571428572
34,Norway,5.83728813559322
35,Poland,9.298305084745763
36,Portugal,14.503389830508475
37,Republic of Moldova,10.621428571428577
38,Romania,9.898305084745763
39,Russian Federation,9.2
40,San Marino,40.0
41,Serbia,9.71
42,Slovakia,12.644067796610173
43,Slovenia,13.73846153846154
44,Spain,13.772413793103446
45,Sweden,7.867796610169493
46,Switzerland,13.02777777777778
47,Tajikistan,2.5464285714285713
48,Turkey,1.894915254237289
49,Turkmenistan,4.028571428571429
50,Ukraine,7.390243902439026
51,United Kingdom,10.442372881355933
52,Uzbekistan,3.646428571428572
53,WHO European Region,10.441999999999998
54,Members of the European Union,12.871999999999998
55,Members of the EU before May 2004 (EU15),13.253999999999996
56,Members of the EU after May 2004 (EU13),11.645999999999997
57,Commonwealth of Independent States,9.18
58,Central Asian Republics Information Network members (CARINFONET),4.910714285714285
59,South-eastern Europe Health Network members (SEEHN),9.683333333333332
60,Nordic countries,9.160000000000002
61,Small countries,10.522
