,country,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),beer mean,Wine mean,Spirit mean,Pure alcohol mean
0,Albania,259.98379621264456,0.8672413793103451,0.5965517241379309,1.1534482758620688,2.6327586206896547
1,Andorra,9.091886124624033,3.1050000000000004,4.85,2.56,10.575
2,Armenia,759.8671984503578,0.3133333333333333,0.5633333333333334,2.6466666666666674,3.386666666666668
3,Austria,2062.8540298359303,6.471666666666668,4.405,1.8099999999999996,12.57666666666667
4,Azerbaijan,2483.134412053207,0.34999999999999976,0.5199999999999999,1.2899999999999998,1.8700000000000003
5,Belarus,2080.992602302997,1.9062500000000004,0.7812499999999999,5.640624999999999,10.929999999999994
6,Belgium,1824.273874510568,6.784210526315789,3.0929824561403523,1.8614035087719292,11.57017543859649
7,Bosnia and Herzegovina,659.2378407456163,2.8933333333333326,0.6466666666666667,3.2433333333333327,6.403333333333332
8,Bulgaria,1958.3273574373536,3.4315789473684206,2.8438596491228068,4.003508771929825,10.031578947368414
9,Croatia,1454.5359879972023,4.5272727272727264,5.424242424242424,2.1,11.706060606060605
10,Cyprus,106.9771387722947,2.7423728813559323,2.22542372881356,3.4898305084745753,8.123728813559321
11,Czechia,2143.0365954987483,7.210169491525423,2.3999999999999995,3.630508474576272,12.854237288135595
12,Denmark,985.2574329475805,6.2152542372881365,2.986440677966101,1.7915254237288134,10.58813559322034
13,Estonia,276.07536048079976,4.6800000000000015,1.6266666666666665,6.11,12.643333333333334
14,Finland,952.2073336125673,3.715254237288135,1.3949152542372885,1.7491525423728822,7.938983050847456
15,France,11564.935032177656,2.725423728813559,11.330508474576273,3.0593220338983054,16.764406779661016
16,Georgia,1283.4486965615565,1.2733333333333334,3.136666666666668,2.126666666666667,5.466666666666668
17,Germany,20856.492739862857,7.837288135593218,3.355932203389832,3.098305084745764,13.67627118644068
18,Greece,1340.3775108987213,2.464912280701755,4.6912280701754385,3.1631578947368424,9.750877192982452
19,Hungary,5548.818307904178,4.738983050847458,4.5474576271186455,4.501694915254238,13.132203389830511
20,Iceland,13.837610613795006,2.371186440677966,1.394915254237288,2.679661016949153,5.752542372881358
21,Ireland,304.58680794897583,7.664912280701755,1.7122807017543855,2.6666666666666665,12.014035087719298
22,Israel,572.9123874707807,1.4576271186440664,1.0813559322033903,1.5271186440677968,3.4338983050847456
23,Italy,13556.155322680037,1.666101694915255,10.198305084745764,1.8542372881355933,12.94745762711865
24,Kazakhstan,4663.767258072073,2.0933333333333333,1.0600000000000005,4.579999999999999,6.126666666666668
25,Kyrgyzstan,1795.1201884446834,1.2371428571428575,0.997142857142858,4.5257142857142885,5.328571428571427
26,Latvia,417.0648040484655,3.4449999999999994,2.1,5.432500000000001,9.977500000000003
27,Lithuania,822.4614455057716,4.873333333333333,2.06,4.966666666666667,10.708333333333336
28,Luxembourg,89.79283086106147,5.4898305084745775,7.554237288135595,3.279661016949152,15.354237288135595
29,Malta,38.0570592746288,2.6762711864406783,1.8915254237288133,2.261016949152542,5.959322033898302
30,Montenegro,44.23669308779246,6.071428571428571,4.621428571428573,4.6,10.992857142857144
31,Netherlands,1607.7865406368426,5.008474576271187,2.6932203389830502,2.87457627118644,9.488135593220342
32,North Macedonia,189.89096087349125,3.035714285714286,2.3142857142857145,2.6214285714285697,5.621428571428572
33,Norway,351.0006054405718,3.2050847457627127,1.6779661016949157,2.0830508474576264,5.83728813559322
34,Poland,7250.476971297372,3.732203389830509,1.7288135593220335,5.02542372881356,9.298305084745763
35,Portugal,2632.059817485439,3.1762711864406783,10.72372881355932,1.5644067796610177,14.503389830508475
36,Romania,10589.201447504072,3.6000000000000005,4.428813559322036,3.0355932203389817,9.898305084745763
37,Serbia,1425.9878157735727,5.205,4.165000000000001,4.299999999999998,9.71
38,Slovakia,1571.6800960825367,6.379661016949152,2.9322033898305087,4.6254237288135585,12.644067796610171
39,Slovenia,694.7936563642702,5.510256410256409,7.348717948717949,2.976923076923077,13.73846153846154
40,Spain,8773.406929129615,4.343103448275864,6.962068965517242,3.9568965517241366,13.772413793103444
41,Sweden,942.7083944107441,3.786440677966101,2.605084745762712,2.9661016949152543,7.867796610169492
42,Switzerland,897.2805039131026,4.70925925925926,6.7703703703703715,2.9981481481481493,13.027777777777779
43,Tajikistan,1151.4729362893916,1.8785714285714288,1.8392857142857153,2.1785714285714284,2.5464285714285717
44,Turkey,4187.934545917272,1.345762711864405,0.937288135593222,1.2491525423728809,1.8949152542372891
45,Turkmenistan,1525.6195649482531,2.0500000000000007,2.8214285714285707,2.6714285714285704,4.0285714285714285
46,Ukraine,16634.277315423715,3.178048780487804,2.009756097560976,4.621951219512196,7.3902439024390265
47,United Kingdom,7453.678128302133,6.408474576271188,2.6932203389830542,2.7305084745762698,10.442372881355931
48,Uzbekistan,8149.8258364207095,2.2928571428571423,2.1214285714285723,2.957142857142857,3.646428571428572
