,country,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Unnamed: 0,Unnamed: 0.1,Pure alcohol mean
0,Albania,11.932293063022922,0,Albania,2.6327586206896547
1,Andorra,1.4244887516227818,1,Andorra,10.575
2,Armenia,89.31148510945354,2,Armenia,3.386666666666668
3,Austria,369.0104621776979,3,Austria,12.57666666666667
4,Azerbaijan,271.27907523813093,4,Azerbaijan,1.8700000000000003
5,Belarus,2580.928058914786,5,Belarus,10.929999999999994
6,Belgium,388.6375086436556,6,Belgium,11.57017543859649
7,Bosnia and Herzegovina,216.45105913084,7,Bosnia and Herzegovina,6.403333333333332
8,Bulgaria,154.32965500175277,8,Bulgaria,10.031578947368414
9,Croatia,254.4036077658318,9,Croatia,11.706060606060605
10,Cyprus,6.5345977148933745,10,Cyprus,8.123728813559321
11,Czechia,378.1357742569904,11,Czechia,12.854237288135595
12,Denmark,645.4416201428376,12,Denmark,10.58813559322034
13,Estonia,291.02252730725496,13,Estonia,12.643333333333334
14,Finland,586.9473155407283,14,Finland,7.938983050847456
15,France,3352.950943601312,15,France,16.764406779661016
16,Georgia,81.5033296073697,16,Georgia,5.466666666666668
17,Germany,5968.0742904375065,17,Germany,13.67627118644068
18,Greece,35.33561838106592,18,Greece,9.750877192982452
19,Hungary,800.6200470628958,19,Hungary,13.132203389830511
20,Iceland,6.547261486681472,20,Iceland,5.752542372881358
21,Ireland,86.43098683487284,21,Ireland,12.014035087719298
22,Israel,63.489072760696956,22,Israel,3.4338983050847456
23,Italy,386.3293161151901,23,Italy,12.94745762711865
24,Kazakhstan,1256.3882887831485,24,Kazakhstan,6.126666666666668
25,Kyrgyzstan,451.62536730131967,25,Kyrgyzstan,5.328571428571427
26,Latvia,385.66319472282896,26,Latvia,9.977500000000003
27,Lithuania,631.125691457775,27,Lithuania,10.708333333333336
28,Luxembourg,21.09919735779968,28,Luxembourg,15.354237288135595
29,Malta,3.2228522264757737,29,Malta,5.959322033898302
30,Montenegro,11.92029027079434,31,Montenegro,10.992857142857144
31,Netherlands,337.7406882596088,32,Netherlands,9.488135593220342
32,North Macedonia,20.959726470555502,33,North Macedonia,5.621428571428572
33,Norway,262.172896819583,34,Norway,5.83728813559322
34,Poland,3747.0477669601178,35,Poland,9.298305084745763
35,Portugal,249.7930142035595,36,Portugal,14.503389830508475
36,Romania,1157.0343245151387,38,Romania,9.898305084745763
37,Serbia,420.3390217241719,41,Serbia,9.71
38,Slovakia,184.81288444300645,42,Slovakia,12.644067796610171
39,Slovenia,144.845825115279,43,Slovenia,13.73846153846154
40,Spain,429.77139927536973,44,Spain,13.772413793103444
41,Sweden,445.0803552755874,45,Sweden,7.867796610169492
42,Switzerland,266.8062378894875,46,Switzerland,13.027777777777779
43,Tajikistan,172.42649151583853,47,Tajikistan,2.5464285714285717
44,Turkey,228.80295191861592,48,Turkey,1.8949152542372891
45,Turkmenistan,177.02901180509915,49,Turkmenistan,4.0285714285714285
46,Ukraine,10664.066216204334,50,Ukraine,7.3902439024390265
47,United Kingdom,1591.5783010842115,51,United Kingdom,10.442372881355931
48,Uzbekistan,551.1431085417297,52,Uzbekistan,3.646428571428572
