,country,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Unnamed: 0,Unnamed: 0.1,Wine mean
0,Albania,259.98379621264456,0,Albania,0.5965517241379309
1,Andorra,9.091886124624033,1,Andorra,4.85
2,Armenia,759.8671984503578,2,Armenia,0.5633333333333334
3,Austria,2062.8540298359303,3,Austria,4.405
4,Azerbaijan,2483.134412053207,4,Azerbaijan,0.5199999999999999
5,Belarus,2080.992602302997,5,Belarus,0.7812499999999999
6,Belgium,1824.273874510568,6,Belgium,3.0929824561403523
7,Bosnia and Herzegovina,659.2378407456163,7,Bosnia and Herzegovina,0.6466666666666667
8,Bulgaria,1958.3273574373536,8,Bulgaria,2.8438596491228068
9,Croatia,1454.5359879972023,9,Croatia,5.424242424242424
10,Cyprus,106.9771387722947,10,Cyprus,2.22542372881356
11,Czechia,2143.0365954987483,11,Czechia,2.3999999999999995
12,Denmark,985.2574329475805,12,Denmark,2.986440677966101
13,Estonia,276.07536048079976,13,Estonia,1.6266666666666665
14,Finland,952.2073336125673,14,Finland,1.3949152542372885
15,France,11564.935032177656,15,France,11.330508474576273
16,Georgia,1283.4486965615565,16,Georgia,3.136666666666668
17,Germany,20856.492739862857,17,Germany,3.355932203389832
18,Greece,1340.3775108987213,18,Greece,4.6912280701754385
19,Hungary,5548.818307904178,19,Hungary,4.5474576271186455
20,Iceland,13.837610613795006,20,Iceland,1.394915254237288
21,Ireland,304.58680794897583,21,Ireland,1.7122807017543855
22,Israel,572.9123874707807,22,Israel,1.0813559322033903
23,Italy,13556.155322680037,23,Italy,10.198305084745764
24,Kazakhstan,4663.767258072073,24,Kazakhstan,1.0600000000000005
25,Kyrgyzstan,1795.1201884446834,25,Kyrgyzstan,0.997142857142858
26,Latvia,417.0648040484655,26,Latvia,2.1
27,Lithuania,822.4614455057716,27,Lithuania,2.06
28,Luxembourg,89.79283086106147,28,Luxembourg,7.554237288135595
29,Malta,38.0570592746288,29,Malta,1.8915254237288133
30,Montenegro,44.23669308779246,31,Montenegro,4.621428571428573
31,Netherlands,1607.7865406368426,32,Netherlands,2.6932203389830502
32,North Macedonia,189.89096087349125,33,North Macedonia,2.3142857142857145
33,Norway,351.0006054405718,34,Norway,1.6779661016949157
34,Poland,7250.476971297372,35,Poland,1.7288135593220335
35,Portugal,2632.059817485439,36,Portugal,10.72372881355932
36,Romania,10589.201447504072,38,Romania,4.428813559322036
37,Serbia,1425.9878157735727,41,Serbia,4.165000000000001
38,Slovakia,1571.6800960825367,42,Slovakia,2.9322033898305087
39,Slovenia,694.7936563642702,43,Slovenia,7.348717948717949
40,Spain,8773.406929129615,44,Spain,6.962068965517242
41,Sweden,942.7083944107441,45,Sweden,2.605084745762712
42,Switzerland,897.2805039131026,46,Switzerland,6.7703703703703715
43,Tajikistan,1151.4729362893916,47,Tajikistan,1.8392857142857153
44,Turkey,4187.934545917272,48,Turkey,0.937288135593222
45,Turkmenistan,1525.6195649482531,49,Turkmenistan,2.8214285714285707
46,Ukraine,16634.277315423715,50,Ukraine,2.009756097560976
47,United Kingdom,7453.678128302133,51,United Kingdom,2.6932203389830542
48,Uzbekistan,8149.8258364207095,52,Uzbekistan,2.1214285714285723
